time,left,front,u,Xi,desired
12004.555,373.159213,65.318987,1.500000,11.474847,388.051120
12004.585,386.317895,72.152627,-0.551999,-1.826446,387.892841
12004.614,374.890296,73.869725,1.500000,9.456194,387.731953
12004.649,372.691259,66.870781,1.500000,11.483603,387.541467
12004.689,395.959616,67.884465,-1.500000,-11.989183,387.314576
12004.719,366.268149,66.257169,1.500000,17.542741,387.137503
12004.753,385.248453,64.834865,-0.299557,-1.617528,386.937763
12004.788,368.964943,70.824817,1.500000,14.475838,386.726727
12004.822,376.750651,63.189386,1.500000,6.501092,386.516918
12004.852,393.760290,68.224090,-1.500000,-10.682684,386.323647
12004.883,399.117578,69.806416,-1.500000,-16.216175,386.128082
12004.913,386.691040,71.956474,-1.500000,-3.970972,385.926823
12004.945,385.015100,73.730653,-1.500000,-2.484519,385.716516
12004.977,389.088085,59.938248,-1.500000,-6.754988,385.497334
12005.012,385.756081,64.288681,-1.500000,-3.638661,385.257957
12005.046,365.346795,71.693753,1.500000,16.549616,385.012665
12005.077,375.186924,65.571484,1.500000,6.513233,384.794846
12005.111,361.444051,71.755884,1.500000,20.030825,384.544813
12005.143,373.521296,71.485362,1.500000,7.743510,384.311660
12005.173,390.546123,62.071431,-1.500000,-9.484989,384.085609
12005.204,349.821044,74.459946,1.500000,31.020081,383.841426
12005.235,370.720990,60.787936,1.500000,9.906742,383.604585
12005.269,392.494092,68.930463,-1.500000,-12.105839,383.338793
12005.306,384.835481,73.308956,-1.500000,-4.717410,383.038924
12005.341,381.941863,67.370176,-1.500000,-2.078473,382.756259
12005.375,353.656067,62.935749,1.500000,25.951496,382.472323
12005.407,377.308019,69.329333,1.500000,2.061527,382.208153
12005.441,376.533308,70.893203,1.500000,2.572850,381.915825
12005.469,391.483127,65.839933,-1.500000,-12.596347,381.672342
12005.497,398.900325,68.779513,-1.500000,-20.229452,381.432712
12005.527,370.496968,71.464039,1.500000,7.932509,381.164791
12005.561,384.097729,71.845497,-1.500000,-5.936406,380.867173
12005.592,368.839002,64.881500,1.500000,9.066350,380.583077
12005.624,391.764205,66.864396,-1.500000,-14.123019,380.289885
12005.659,387.496372,71.574921,-1.500000,-10.149324,379.963427
12005.695,374.124865,64.841732,1.500000,2.916727,379.624408
12005.726,377.604371,63.101132,0.649612,-0.832009,379.325595
12005.758,382.744763,67.346875,-1.500000,-6.249787,379.017732
12005.792,377.484471,63.863971,-1.500000,-1.283668,378.691236
12005.825,378.261011,70.790317,-1.500000,-2.355055,378.363991
12005.857,362.963226,65.159417,1.500000,12.656716,378.046551
12005.887,378.263545,70.851096,-1.500000,-2.918822,377.741091
12005.920,360.953570,73.363486,1.500000,14.086057,377.402472
12005.951,344.845979,63.817780,1.500000,29.911868,377.089730
12005.982,351.938495,66.923878,1.500000,22.523423,376.761285
12006.019,382.011769,72.945708,-1.500000,-7.902827,376.369525
12006.050,354.741520,68.917297,1.500000,19.070553,376.040037
12006.082,374.337090,67.366548,0.652759,-0.829405,375.702203
12006.115,376.481869,64.835373,-1.500000,-3.298164,375.342625
12006.142,384.876220,72.877633,-1.500000,-11.959111,375.046736
12006.172,348.970336,70.112404,1.500000,23.651400,374.718908
12006.205,343.372641,68.940289,1.500000,28.915914,374.349117
12006.238,380.791024,68.018629,-1.500000,-8.832683,373.982621
12006.276,366.885677,64.667999,1.500000,4.676595,373.543032
12006.311,370.895453,59.546231,1.500000,0.307428,373.144152
12006.345,392.891068,71.196934,-1.500000,-22.042619,372.750776
12006.379,378.762133,65.444947,-1.500000,-8.269437,372.355934
12006.410,381.824800,65.826022,-1.500000,-11.671938,371.978758
12006.443,357.832502,62.074153,1.500000,11.970643,371.590616
12006.472,359.419222,62.410502,1.500000,10.067954,371.239929
12006.502,356.946693,63.342249,1.500000,12.212481,370.875887
12006.533,368.865565,64.764741,1.443764,-0.045245,370.499800
12006.563,375.646666,74.563401,-1.500000,-7.151849,370.138532
12006.595,369.920256,68.075911,-1.500000,-1.785761,369.738618
12006.630,376.624413,67.915124,-1.500000,-8.879999,369.305675
12006.667,372.107189,63.674029,-1.500000,-4.790890,368.830520
12006.700,363.168033,68.350054,1.500000,3.770808,368.411588
12006.733,368.973040,63.502641,-1.264079,-2.415753,367.988109
12006.767,350.968576,67.622373,1.500000,15.202521,367.559486
12006.792,365.664234,66.278999,1.500000,0.209454,367.229398
12006.825,367.209037,66.965327,-0.577817,-1.718277,366.804395
12006.857,367.718665,70.342507,-1.500000,-2.607086,366.383550
12006.891,364.171034,66.091369,-0.902146,0.533299,365.931557
12006.928,349.729417,70.414730,1.500000,14.531472,365.439388
12006.961,346.409427,62.860215,1.500000,17.445345,364.988648
12006.992,367.278458,69.857974,-1.500000,-3.805060,364.565370
12007.025,359.681633,70.530979,1.500000,3.388224,364.117489
12007.061,369.497866,61.834094,-1.500000,-6.871029,363.625790
12007.087,362.924690,66.989565,-1.500000,-0.618515,363.269894
12007.116,341.898914,64.089984,1.500000,20.041751,362.864223
12007.146,366.451795,63.856424,-1.500000,-4.887571,362.446419
12007.178,360.940403,64.452916,-1.395262,0.214919,361.992588
12007.214,381.581240,73.135839,-1.500000,-20.885703,361.482283
12007.248,346.141546,63.680027,1.500000,14.124559,361.005667
12007.282,345.971392,65.719122,1.500000,13.849548,360.511587
12007.314,330.506083,64.140022,1.500000,28.906508,360.058370
12007.346,351.700435,72.087929,1.500000,7.285472,359.584803
12007.378,353.683691,67.672850,1.500000,4.880627,359.116891
12007.414,367.821400,68.541052,-1.500000,-9.733884,358.587698
